0,1,2,3,4,5,6,7,8,9,10
whole milk,flower (seeds),honey,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
brown bread,pot plants,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
sausage,canned beer,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
margarine,bottled water,,,,,,,,,
butter milk,yogurt,,,,,,,,,
chicken,yogurt,UHT-milk,root vegetables,yogurt,hard cheese,semi-finished bread,frozen potato products,,,
chocolate,liquor,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
beef,canned beer,fruit/vegetable juice,,,,,,,,
other vegetables,whole milk,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
domestic eggs,candy,,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ham,soda,,,,,,,,,
bottled water,curd,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
whole milk,salty snack,shopping bags,,,,,,,,
chicken,domestic eggs,,,,,,,,,
whipped/sour cream,sparkling wine,bottled beer,,,,,,,,
specialty bar,yogurt,napkins,other vegetables,chocolate,,,,,,
sausage,bottled beer,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
whole milk,pasta,,,,,,,,,
root vegetables,waffles,,,,,,,,,
root vegetables,soda,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
bottled beer,candy,,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
pastry,cat food,,,,,,,,,
waffles,pasta,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
brown bread,oil,,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
ice cream,hygiene articles,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pastry,other vegetables,,,,,,,,,
frankfurter,pork,ketchup,,,,,,,,
butter,oil,,,,,,,,,
beef,other vegetables,,,,,,,,,
other vegetables,berries,,,,,,,,,
baking powder,yogurt,,,,,,,,,
whole milk,salty snack,margarine,,,,,,,,
ham,seasonal products,cat food,,,,,,,,
whole milk,margarine,,,,,,,,,
sausage,ketchup,,,,,,,,,
tropical fruit,domestic eggs,chocolate,,,,,,,,
whole milk,waffles,shopping bags,,,,,,,,
newspapers,yogurt,,,,,,,,,
newspapers,long life bakery product,napkins,,,,,,,,
margarine,frozen meals,dish cleaner,yogurt,,,,,,,
bottled beer,oil,,,,,,,,,
domestic eggs,other vegetables,brown bread,,,,,,,,
ham,beef,bottled water,citrus fruit,dishes,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
tropical fruit,soda,,,,,,,,,
root vegetables,dessert,,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
ham,bottled water,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
sugar,cat food,,,,,,,,,
sausage,whole milk,yogurt,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
spices,soda,,,,,,,,,
citrus fruit,rolls/buns,napkins,soda,,,,,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
domestic eggs,whole milk,bottled water,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
sausage,curd,,,,,,,,,
chicken,chicken,,,,,,,,,
preservation products,soups,,,,,,,,,
other vegetables,margarine,bottled water,,,,,,,,
frankfurter,soda,,,,,,,,,
pastry,sliced cheese,fruit/vegetable juice,,,,,,,,
long life bakery product,condensed milk,,,,,,,,,
meat,root vegetables,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
whole milk,citrus fruit,napkins,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
specialty fat,red/blush wine,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,pastry,,,,,,,,,
pork,bottled water,pastry,,,,,,,,
pastry,rolls/buns,sliced cheese,tropical fruit,liquor,hygiene articles,dental care,napkins,,,
shopping bags,dessert,other vegetables,bottled water,margarine,,,,,,
pork,other vegetables,,,,,,,,,
napkins,whole milk,,,,,,,,,
shopping bags,soda,,,,,,,,,
pip fruit,flour,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frankfurter,canned beer,pastry,yogurt,,,,,,,
other vegetables,yogurt,soda,,,,,,,,
bottled water,yogurt,,,,,,,,,
sausage,dessert,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frankfurter,margarine,,,,,,,,,
pip fruit,whipped/sour cream,rolls/buns,,,,,,,,
yogurt,pastry,,,,,,,,,
ham,berries,,,,,,,,,
whole milk,beef,beverages,yogurt,,,,,,,
skin care,frankfurter,root vegetables,fruit/vegetable juice,,,,,,,
sausage,hamburger meat,newspapers,,,,,,,,
hamburger meat,popcorn,,,,,,,,,
yogurt,popcorn,,,,,,,,,
curd,yogurt,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
tropical fruit,cat food,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
dessert,salty snack,,,,,,,,,
brown bread,hair spray,,,,,,,,,
citrus fruit,white wine,,,,,,,,,
whole milk,frozen vegetables,semi-finished bread,,,,,,,,
white bread,canned fish,,,,,,,,,
coffee,sugar,,,,,,,,,
butter,root vegetables,bottled water,whipped/sour cream,red/blush wine,,,,,,
onions,whole milk,cling film/bags,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
condensed milk,pastry,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
rolls/buns,beef,coffee,,,,,,,,
domestic eggs,brown bread,specialty chocolate,,,,,,,,
pork,cereals,,,,,,,,,
potato products,oil,,,,,,,,,
mayonnaise,instant coffee,,,,,,,,,
soda,frozen fish,rolls/buns,,,,,,,,
dessert,curd,,,,,,,,,
onions,rum,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,syrup,,,,,,,,,
rolls/buns,baby cosmetics,,,,,,,,,
baking powder,domestic eggs,,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
yogurt,other vegetables,,,,,,,,,
citrus fruit,soda,coffee,,,,,,,,
frozen fish,mustard,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
beef,curd,,,,,,,,,
pip fruit,soda,,,,,,,,,
meat,canned fish,brown bread,,,,,,,,
tropical fruit,sausage,tropical fruit,detergent,butter,newspapers,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
herbs,soft cheese,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
beef,hamburger meat,,,,,,,,,
finished products,other vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
beef,citrus fruit,napkins,semi-finished bread,brown bread,,,,,,
white bread,salty snack,,,,,,,,,
onions,cream cheese ,,,,,,,,,
white bread,white bread,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
sugar,coffee,,,,,,,,,
dishes,onions,canned beer,,,,,,,,
dish cleaner,whole milk,flower (seeds),flour,chewing gum,dog food,,,,,
whole milk,domestic eggs,long life bakery product,,,,,,,,
snack products,soda,,,,,,,,,
frozen vegetables,beef,,,,,,,,,
frankfurter,pork,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
tropical fruit,prosecco,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
sausage,pasta,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
oil,chocolate,,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
canned beer,shopping bags,whole milk,,,,,,,,
meat,domestic eggs,,,,,,,,,
condensed milk,berries,tea,frozen vegetables,cat food,,,,,,
citrus fruit,salt,,,,,,,,,
tropical fruit,waffles,bottled beer,,,,,,,,
citrus fruit,dessert,newspapers,,,,,,,,
berries,frozen meals,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,soda,,,,,,,,,
grapes,ketchup,,,,,,,,,
yogurt,whole milk,shopping bags,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
onions,chocolate,,,,,,,,,
chewing gum,pot plants,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
ham,frankfurter,bottled water,shopping bags,specialty cheese,,,,,,
candy,domestic eggs,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
rolls/buns,berries,,,,,,,,,
other vegetables,bottled beer,white bread,fruit/vegetable juice,,,,,,,
frankfurter,yogurt,waffles,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
misc. beverages,bottled beer,dishes,onions,,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
rolls/buns,candy,,,,,,,,,
bottled beer,frozen dessert,rolls/buns,berries,rice,white bread,,,,,
chicken,margarine,long life bakery product,,,,,,,,
finished products,frozen vegetables,,,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
specialty chocolate,whipped/sour cream,,,,,,,,,
soda,candy,,,,,,,,,
tropical fruit,butter,,,,,,,,,
pastry,other vegetables,,,,,,,,,
misc. beverages,oil,,,,,,,,,
whole milk,flour,,,,,,,,,
butter,cat food,roll products ,,,,,,,,
white bread,newspapers,,,,,,,,,
hamburger meat,cat food,margarine,,,,,,,,
soda,onions,pastry,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frozen fish,bottled beer,,,,,,,,,
specialty chocolate,pork,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
dessert,whole milk,,,,,,,,,
white bread,seasonal products,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
yogurt,whole milk,,,,,,,,,
beef,cream cheese ,,,,,,,,,
whole milk,beverages,,,,,,,,,
napkins,citrus fruit,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
tropical fruit,mustard,sliced cheese,,,,,,,,
citrus fruit,chewing gum,,,,,,,,,
salty snack,canned beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
newspapers,napkins,,,,,,,,,
meat,butter,,,,,,,,,
grapes,onions,,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
curd,shopping bags,,,,,,,,,
sausage,margarine,,,,,,,,,
sliced cheese,cat food,,,,,,,,,
citrus fruit,dessert,bottled water,,,,,,,,
sliced cheese,liquor,hygiene articles,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
soda,pip fruit,sugar,brown bread,,,,,,,
UHT-milk,pastry,,,,,,,,,
rolls/buns,soda,curd,dessert,,,,,,,
pet care,whole milk,,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
citrus fruit,soda,butter,hard cheese,,,,,,,
hygiene articles,skin care,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
curd,margarine,,,,,,,,,
other vegetables,whole milk,yogurt,hard cheese,bottled beer,,,,,,
root vegetables,processed cheese,,,,,,,,,
pork,beverages,dishes,,,,,,,,
sausage,zwieback,jam,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
dessert,butter,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
coffee,whole milk,,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
root vegetables,white bread,,,,,,,,,
packaged fruit/vegetables,whole milk,photo/film,oil,,,,,,,
soap,hard cheese,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
canned beer,onions,,,,,,,,,
meat,other vegetables,,,,,,,,,
sausage,rolls/buns,rolls/buns,,,,,,,,
sugar,bottled water,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
brown bread,yogurt,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
beef,newspapers,,,,,,,,,
bottled beer,rolls/buns,whole milk,,,,,,,,
bottled beer,nut snack,,,,,,,,,
liver loaf,hamburger meat,sausage,whole milk,whipped/sour cream,other vegetables,white bread,whole milk,rolls/buns,,
finished products,whole milk,,,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,other vegetables,pot plants,,,,,,,,
pot plants,other vegetables,,,,,,,,,
dessert,UHT-milk,margarine,,,,,,,,
bottled water,beverages,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
other vegetables,oil,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
ice cream,soda,,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
sausage,rolls/buns,,,,,,,,,
cream cheese ,candy,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
sausage,soda,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
beef,soda,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
ice cream,beef,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
root vegetables,butter,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,beef,,,,,,,,,
flour,sugar,,,,,,,,,
whole milk,frankfurter,domestic eggs,flour,,,,,,,
canned beer,whole milk,,,,,,,,,
canned beer,white bread,,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
rolls/buns,specialty bar,,,,,,,,,
pip fruit,rum,,,,,,,,,
sausage,margarine,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
other vegetables,canned beer,whole milk,,,,,,,,
sausage,seasonal products,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
butter,red/blush wine,,,,,,,,,
dog food,canned beer,,,,,,,,,
ham,bottled beer,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,onions,,,,,,,,,
margarine,shopping bags,pickled vegetables,rolls/buns,,,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
napkins,pastry,whole milk,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
whole milk,red/blush wine,shopping bags,cream cheese ,canned beer,,,,,,
tropical fruit,frozen vegetables,whole milk,snack products,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
soft cheese,napkins,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
pickled vegetables,butter,,,,,,,,,
other vegetables,sugar,,,,,,,,,
other vegetables,napkins,white wine,,,,,,,,
rolls/buns,soda,chocolate,soda,,,,,,,
bottled beer,pastry,cream cheese ,,,,,,,,
yogurt,root vegetables,oil,,,,,,,,
sausage,yogurt,,,,,,,,,
liver loaf,frozen meals,yogurt,domestic eggs,flower (seeds),coffee,,,,,
bottled beer,other vegetables,,,,,,,,,
butter,soda,oil,,,,,,,,
sausage,whole milk,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
yogurt,citrus fruit,ice cream,soups,,,,,,,
canned beer,rolls/buns,softener,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
whole milk,butter,,,,,,,,,
other vegetables,salt,,,,,,,,,
white wine,canned vegetables,flour,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
soda,cream cheese ,,,,,,,,,
yogurt,cookware,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
specialty cheese,napkins,,,,,,,,,
herbs,white bread,curd cheese,,,,,,,,
white bread,bottled water,,,,,,,,,
sausage,beverages,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
frankfurter,prosecco,,,,,,,,,
margarine,whole milk,berries,,,,,,,,
whole milk,frozen meals,,,,,,,,,
whole milk,pastry,,,,,,,,,
ham,coffee,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
sauces,frozen meals,,,,,,,,,
sugar,dish cleaner,,,,,,,,,
oil,soda,waffles,,,,,,,,
rolls/buns,dessert,,,,,,,,,
canned fruit,whole milk,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
bottled beer,sugar,popcorn,,,,,,,,
hamburger meat,candy,napkins,,,,,,,,
whole milk,napkins,,,,,,,,,
cream cheese ,mustard,,,,,,,,,
chicken,whole milk,,,,,,,,,
dessert,napkins,long life bakery product,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
beef,jam,flower (seeds),,,,,,,,
whole milk,root vegetables,,,,,,,,,
bottled water,sparkling wine,,,,,,,,,
whole milk,yogurt,,,,,,,,,
frozen meals,cream cheese ,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
chicken,yogurt,,,,,,,,,
beef,waffles,detergent,shopping bags,,,,,,,
other vegetables,soda,,,,,,,,,
bottled beer,yogurt,butter milk,,,,,,,,
sugar,butter milk,photo/film,,,,,,,,
ham,canned fruit,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
whole milk,salty snack,,,,,,,,,
meat,rolls/buns,soda,,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
canned fish,rolls/buns,,,,,,,,,
soda,soda,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
frankfurter,chocolate,,,,,,,,,
other vegetables,beverages,,,,,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
red/blush wine,berries,,,,,,,,,
meat,butter milk,,,,,,,,,
sausage,butter,,,,,,,,,
zwieback,rice,,,,,,,,,
pot plants,bottled water,yogurt,,,,,,,,
frozen meals,jam,,,,,,,,,
other vegetables,packaged fruit/vegetables,,,,,,,,,
packaged fruit/vegetables,rolls/buns,root vegetables,napkins,soft cheese,,,,,,
pastry,chewing gum,,,,,,,,,
rolls/buns,hygiene articles,fruit/vegetable juice,,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
rolls/buns,pastry,,,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
pastry,whole milk,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
chicken,yogurt,,,,,,,,,
soda,pastry,bottled water,,,,,,,,
yogurt,whole milk,,,,,,,,,
citrus fruit,ham,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
tropical fruit,herbs,,,,,,,,,
brown bread,shopping bags,soda,,,,,,,,
root vegetables,newspapers,,,,,,,,,
misc. beverages,white bread,,,,,,,,,
house keeping products,whole milk,,,,,,,,,
chicken,napkins,soda,,,,,,,,
onions,rolls/buns,,,,,,,,,
ready soups,shopping bags,,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
chicken,soda,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
brown bread,yogurt,,,,,,,,,
bottled water,frankfurter,curd,butter milk,,,,,,,
rolls/buns,bottled water,whole milk,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
chocolate,white bread,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
butter,citrus fruit,,,,,,,,,
root vegetables,napkins,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
white bread,hygiene articles,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
prosecco,chewing gum,,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
long life bakery product,chocolate,,,,,,,,,
ham,female sanitary products,,,,,,,,,
frankfurter,tropical fruit,mustard,,,,,,,,
butter milk,oil,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
other vegetables,candy,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
pip fruit,canned beer,pork,white bread,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
bottled water,yogurt,,,,,,,,,
whole milk,soda,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
citrus fruit,specialty cheese,,,,,,,,,
salty snack,brown bread,napkins,,,,,,,,
hygiene articles,pastry,,,,,,,,,
whole milk,waffles,waffles,,,,,,,,
butter,newspapers,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
beverages,sparkling wine,,,,,,,,,
chewing gum,ham,,,,,,,,,
butter milk,sliced cheese,rolls/buns,,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
other vegetables,whipped/sour cream,salty snack,,,,,,,,
specialty chocolate,flour,,,,,,,,,
yogurt,specialty cheese,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
grapes,whole milk,,,,,,,,,
pork,pastry,,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
pork,condensed milk,,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
tropical fruit,white wine,bottled beer,,,,,,,,
bottled water,berries,,,,,,,,,
curd,frozen meals,,,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
hygiene articles,tea,,,,,,,,,
cat food,canned vegetables,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
beef,chicken,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,pastry,,,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
bottled beer,canned beer,fruit/vegetable juice,,,,,,,,
beef,curd,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
hamburger meat,pastry,flour,,,,,,,,
whole milk,long life bakery product,margarine,,,,,,,,
chicken,herbs,frozen meals,,,,,,,,
citrus fruit,rolls/buns,canned fish,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
cream cheese ,female sanitary products,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whisky,shopping bags,rum,,,,,,,,
dish cleaner,rolls/buns,frozen potato products,frozen vegetables,,,,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
brown bread,frozen fish,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
ham,rolls/buns,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
hard cheese,bottled beer,whole milk,liquor (appetizer),,,,,,,
specialty cheese,sliced cheese,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,flour,,,,,,,,,
pork,coffee,margarine,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
sausage,dish cleaner,,,,,,,,,
beef,butter,,,,,,,,,
specialty chocolate,frozen vegetables,,,,,,,,,
dishes,yogurt,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
chewing gum,other vegetables,specialty bar,,,,,,,,
frankfurter,bottled water,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
coffee,whole milk,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
misc. beverages,sliced cheese,domestic eggs,,,,,,,,
beef,specialty chocolate,,,,,,,,,
pip fruit,tidbits,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
dessert,mustard,white bread,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
packaged fruit/vegetables,root vegetables,sliced cheese,pip fruit,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
rolls/buns,sugar,fruit/vegetable juice,,,,,,,,
beef,bottled water,,,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
pork,yogurt,,,,,,,,,
rolls/buns,onions,butter,whole milk,rolls/buns,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
pork,sugar,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
curd cheese,canned beer,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
pip fruit,flower (seeds),,,,,,,,,
sausage,long life bakery product,,,,,,,,,
beef,onions,,,,,,,,,
turkey,bottled water,,,,,,,,,
herbs,curd,,,,,,,,,
chicken,rolls/buns,pip fruit,pastry,frozen meals,,,,,,
citrus fruit,female sanitary products,,,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
ice cream,citrus fruit,soda,,,,,,,,
chicken,pork,newspapers,,,,,,,,
fish,pickled vegetables,hard cheese,,,,,,,,
sausage,white bread,,,,,,,,,
pip fruit,brandy,,,,,,,,,
whole milk,yogurt,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
chicken,ice cream,bottled water,,,,,,,,
detergent,tropical fruit,soda,margarine,,,,,,,
zwieback,shopping bags,kitchen towels,,,,,,,,
sausage,beverages,,,,,,,,,
root vegetables,soda,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
citrus fruit,whole milk,fruit/vegetable juice,dishes,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
citrus fruit,onions,,,,,,,,,
yogurt,seasonal products,,,,,,,,,
liver loaf,specialty chocolate,,,,,,,,,
tropical fruit,pip fruit,prosecco,,,,,,,,
ham,onions,,,,,,,,,
bottled water,whole milk,,,,,,,,,
pork,frozen dessert,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
rolls/buns,brown bread,whipped/sour cream,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
other vegetables,frozen vegetables,rolls/buns,,,,,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
pet care,dog food,,,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
specialty bar,soda,,,,,,,,,
butter,soda,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
other vegetables,newspapers,,,,,,,,,
liquor,fruit/vegetable juice,,,,,,,,,
